Date,Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
8/17/2017,14:55:00,2440.25,2441.25,2439.75,2440.5,11162,942,2440.55,0
8/17/2017,15:00:00,2440.5,2440.75,2437,2437.75,25455,2536,2438.15,0
8/17/2017,15:05:00,2437.75,2438.5,2436.5,2438,21491,2007,2437.6,0
8/17/2017,15:10:00,2438.25,2438.25,2436.25,2436.75,16620,1498,2437.125,0
8/17/2017,15:15:00,2437,2437,2434.25,2435,28552,2428,2435.525,0
8/17/2017,15:20:00,2435,2436.5,2433.75,2434.5,24666,2078,2435.2,0
8/17/2017,15:25:00,2434.5,2435.75,2433.5,2434,19528,1893,2434.5,0
8/17/2017,15:30:00,2434,2437,2432.75,2436.25,38742,2914,2435.175,0
8/17/2017,15:35:00,2436.25,2437,2433.75,2434.5,24845,1635,2435.7,0
8/17/2017,15:40:00,2434.25,2434.75,2431.25,2432.5,40299,2892,2432.775,0
8/17/2017,15:45:00,2432.25,2432.75,2430.5,2431.5,35459,2723,2431.825,0
8/17/2017,15:50:00,2431.5,2431.75,2429.25,2431.75,55101,4170,2430.45,0
8/17/2017,15:55:00,2431.75,2431.75,2428.75,2429,138520,6102,2429.8,0
8/17/2017,16:00:00,2429,2431,2427.75,2430,89335,4253,2429.475,0
8/17/2017,16:05:00,2429.75,2431,2429.5,2430.25,21443,1119,2430.25,0
8/17/2017,16:10:00,2430.25,2430.75,2428.75,2430,40175,2357,2429.725,0
8/17/2017,16:30:00,2430,2430.75,2428,2428.25,8208,528,2429.725,0
8/17/2017,16:35:00,2428.25,2428.5,2427,2427.75,3918,417,2427.7,0
8/17/2017,16:40:00,2427.75,2427.75,2425,2425.5,3760,530,2426.1,0
8/17/2017,16:45:00,2425.5,2426.25,2424.5,2424.75,2909,302,2425.125,0
8/17/2017,16:50:00,2424.75,2425.5,2423.75,2425.25,2791,361,2424.5,0
8/17/2017,16:55:00,2425.25,2428,2425.25,2427.25,3486,443,2426.65,0
8/18/2017,9:30:00,2426.5,2427.5,2424,2424.5,80097,5932,2425.9,0
8/18/2017,9:35:00,2424.25,2426,2421.25,2422.25,55507,5590,2423.775,0
8/18/2017,9:40:00,2422.25,2424,2421.5,2423.25,36879,4046,2422.8,0
8/18/2017,9:45:00,2423.25,2425.25,2421.5,2424.25,33192,3606,2423.45,0
8/18/2017,9:50:00,2424.25,2425.5,2420.5,2421.25,47084,4488,2422.95,0
8/18/2017,9:55:00,2421.5,2422.75,2419.5,2419.75,27963,2962,2420.875,0
8/18/2017,10:00:00,2420,2424.75,2419.75,2424.5,37873,4066,2422.475,0
8/18/2017,10:05:00,2424.5,2427,2424,2425.5,32904,3217,2425.525,0
8/18/2017,10:10:00,2425.75,2426,2423.75,2425.75,27669,2102,2424.975,0
8/18/2017,10:15:00,2425.75,2427.75,2424.75,2424.75,28396,2697,2426.525,0
8/18/2017,10:20:00,2424.75,2427.25,2424.75,2425.75,21015,1903,2426.25,0
8/18/2017,10:25:00,2425.75,2426.5,2424.25,2424.25,15141,1652,2425.375,0
8/18/2017,10:30:00,2424.5,2424.5,2421.75,2423.25,24382,2531,2423,0
8/18/2017,10:35:00,2423.25,2425.25,2423.25,2425,19321,1901,2424.175,0
8/18/2017,10:40:00,2425,2426.25,2424.5,2425.5,19298,1917,2425.45,0
8/18/2017,10:45:00,2425.5,2425.75,2422.75,2423.5,15414,1801,2423.925,0
8/18/2017,10:50:00,2423.5,2425.25,2423,2424,13437,1326,2424.375,0
8/18/2017,10:55:00,2424,2425.5,2424,2424.5,11000,1000,2424.875,0
8/18/2017,11:00:00,2424.5,2425.5,2422.5,2423.5,18165,1814,2424,0
8/18/2017,11:05:00,2423.25,2423.75,2421.25,2421.75,23334,2156,2422.1,0
8/18/2017,11:10:00,2421.5,2422.75,2420.5,2421.75,20855,1700,2421.4,0
8/18/2017,11:15:00,2422,2426.75,2421.75,2426.5,30914,2788,2424.575,0
8/18/2017,11:20:00,2426.5,2427.5,2425.5,2426,38477,2579,2426.425,0
8/18/2017,11:25:00,2426,2431.25,2426,2430,43212,3469,2428.95,0
8/18/2017,11:30:00,2430,2431.25,2428.75,2430.5,23276,2322,2430.15,0
8/18/2017,11:35:00,2430.5,2430.75,2428.75,2430.25,18107,1712,2429.75,0
8/18/2017,11:40:00,2430.25,2431.25,2429,2430,17577,1851,2429.975,0
8/18/2017,11:45:00,2430.25,2432.25,2429.25,2431.75,22780,2269,2430.75,0
8/18/2017,11:50:00,2431.75,2435.5,2431.5,2434,36758,3409,2433.425,0
8/18/2017,11:55:00,2434.25,2434.25,2432.75,2433.5,18741,1667,2433.525,0
8/18/2017,12:00:00,2433.75,2434,2430.75,2430.75,21962,1927,2432.05,0
8/18/2017,12:05:00,2430.75,2431.5,2430.25,2431,13549,1172,2430.9,0
8/18/2017,12:10:00,2430.75,2432.75,2430.75,2431,11893,1141,2431.75,0
8/18/2017,12:15:00,2431.25,2432.5,2431,2431.75,12203,1178,2431.725,0
8/18/2017,12:20:00,2432,2432,2430,2430.75,11176,1028,2430.925,0
8/18/2017,12:25:00,2430.75,2433.75,2430.5,2433.25,13057,1253,2432.225,0
8/18/2017,12:30:00,2433.5,2435,2432.75,2434.75,21673,1520,2433.975,0
8/18/2017,12:35:00,2434.75,2435,2433,2435,15286,1321,2434,0
8/18/2017,12:40:00,2434.75,2439.5,2434.5,2436.5,58844,4671,2437.3,0
8/18/2017,12:45:00,2436.5,2438.25,2434.25,2437.5,30896,2652,2436.1,0
8/18/2017,12:50:00,2437.25,2438,2435.75,2437.75,13550,1535,2437.15,0
8/18/2017,12:55:00,2437.75,2438.25,2435.75,2435.75,12626,1290,2437.075,0
8/18/2017,13:00:00,2435.75,2437,2433.5,2434.25,25876,2417,2435.175,0
8/18/2017,13:05:00,2434,2435.75,2433.75,2434.25,9107,1078,2434.775,0
8/18/2017,13:10:00,2434,2436.25,2434,2434,12479,1088,2435.05,0
8/18/2017,13:15:00,2434,2435.5,2432.75,2433.5,19296,1661,2434.05,0
8/18/2017,13:20:00,2433.5,2433.75,2432.25,2432.25,12027,1175,2432.825,0
8/18/2017,13:25:00,2432.25,2434,2432,2432.75,10613,1108,2433,0
8/18/2017,13:30:00,2432.75,2434.25,2432.5,2433.25,7120,885,2433.35,0
8/18/2017,13:35:00,2433.5,2433.5,2430.5,2431,16213,1609,2431.5,0
8/18/2017,13:40:00,2430.75,2431.25,2429.75,2430.5,15250,1344,2430.425,0
8/18/2017,13:45:00,2430.5,2431.75,2430,2431.5,8550,897,2431.025,0
8/18/2017,13:50:00,2431.5,2432.25,2430.25,2431.25,7944,904,2431.275,0
8/18/2017,13:55:00,2431,2431.5,2428.5,2428.5,12877,1184,2429.575,0
8/18/2017,14:00:00,2428.75,2430,2428.25,2429.75,12767,1121,2429.35,0
8/18/2017,14:05:00,2430,2430.75,2429,2430.25,9735,1066,2429.85,0
8/18/2017,14:10:00,2430.25,2431.5,2430,2430.25,6334,721,2430.75,0
8/18/2017,14:15:00,2430.25,2431,2429.5,2429.5,5475,618,2430.125,0
8/18/2017,14:20:00,2429.75,2430.5,2429,2430.25,10881,944,2429.675,0
8/18/2017,14:25:00,2430.25,2432.5,2430,2431,12531,1304,2431.425,0
8/18/2017,14:30:00,2431,2432.5,2430.75,2431,10982,913,2431.65,0
8/18/2017,14:35:00,2430.75,2432,2430.5,2430.75,6312,619,2431.4,0
8/18/2017,14:40:00,2431,2431.5,2430.25,2431,4082,548,2430.875,0
8/18/2017,14:45:00,2431,2431.25,2430,2430.75,4849,517,2430.575,0
8/18/2017,14:50:00,2431,2431,2429,2429.5,8005,857,2429.725,0
8/18/2017,14:55:00,2429.5,2430.25,2429.5,2429.5,4632,526,2429.75,0
8/18/2017,15:00:00,2429.5,2430.25,2429,2430,8234,639,2429.7,0
8/18/2017,15:05:00,2430,2432.25,2429.75,2431.5,11845,1015,2431.2,0
8/18/2017,15:10:00,2431.25,2431.75,2430,2430,6013,652,2430.725,0
8/18/2017,15:15:00,2430,2430.5,2428.5,2429,10700,827,2429.475,0
8/18/2017,15:20:00,2429,2430,2427.5,2428.5,20856,1510,2428.425,0
8/18/2017,15:25:00,2428.5,2429.75,2428.5,2429,8413,749,2429.025,0
8/18/2017,15:30:00,2428.75,2429.5,2427.75,2428.5,12109,963,2428.3,0
8/18/2017,15:35:00,2428.25,2430.75,2427.75,2429.5,16396,1459,2429.6,0
8/18/2017,15:40:00,2429.5,2430,2429,2429,10608,1012,2429.525,0
8/18/2017,15:45:00,2429.25,2430.5,2428.25,2428.5,24992,1778,2429.475,0
8/18/2017,15:50:00,2428.5,2428.5,2426.25,2427,44340,2426,2427.325,0
