"Date","Open","High","Low","Close","Volume","Adj Close"
"02/15/2012","135.63","135.83","134.29","134.56","195195100","127.86"
"02/16/2012","134.57","136.17","134.33","136.05","186567800","129.27"
"02/17/2012","136.52","136.63","135.96","136.41","129869400","129.61"
"02/21/2012","136.73","137.05","136.05","136.47","134042300","129.67"
"02/22/2012","136.26","136.55","135.79","136.03","124455300","129.25"
"02/23/2012","135.96","136.73","135.50","136.63","137704300","129.82"
"02/24/2012","136.93","137.20","136.63","136.93","105539100","130.11"
"02/27/2012","136.02","137.53","135.80","137.16","145728900","130.33"
"02/28/2012","137.20","137.72","136.93","137.56","129355900","130.71"
"02/29/2012","137.76","138.19","136.54","137.02","185934700","130.19"
"03/01/2012","137.31","137.99","136.93","137.73","145023500","130.87"
"03/02/2012","137.64","137.82","137.00","137.31","120638300","130.47"
"03/05/2012","137.10","137.20","136.28","136.75","140765000","129.94"
"03/06/2012","135.35","135.43","134.36","134.75","202129900","128.04"
"03/07/2012","135.06","135.91","134.93","135.69","143692200","128.93"
"03/08/2012","136.52","137.32","136.24","137.04","116968900","130.21"
"03/09/2012","137.30","137.93","137.13","137.57","122836800","130.72"
"03/12/2012","137.55","137.76","137.09","137.58","104003500","130.73"
"03/13/2012","138.32","140.13","138.09","140.06","184090500","133.08"
"03/14/2012","140.10","140.45","139.48","139.91","145163600","132.94"
"03/15/2012","140.12","140.78","139.76","140.72","165118500","133.71"
"03/16/2012","140.36","140.48","140.00","140.30","152893500","133.89"
"03/19/2012","140.21","141.28","140.11","140.85","125291100","134.42"
"03/20/2012","140.05","140.61","139.64","140.44","121729700","134.03"
"03/21/2012","140.52","140.65","139.92","140.21","122388400","133.81"
"03/22/2012","139.18","139.55","138.74","139.20","135216700","132.84"
"03/23/2012","139.32","139.81","138.55","139.65","120521000","133.27"
"03/26/2012","140.65","141.61","140.60","141.61","120164000","135.14"
"03/27/2012","141.74","141.83","141.08","141.17","119868500","134.72"
"03/28/2012","141.10","141.32","139.64","140.47","148562100","134.06"
"03/29/2012","139.64","140.49","139.09","140.23","164963700","133.83"
"03/30/2012","140.92","141.05","140.05","140.81","135486800","134.38"
"04/02/2012","140.64","142.21","140.36","141.84","151741100","135.36"
"04/03/2012","141.64","141.88","140.43","141.26","155806700","134.81"
"04/04/2012","140.22","140.34","139.34","139.86","146896000","133.47"
"04/05/2012","139.38","140.20","139.26","139.79","137439400","133.41"
"04/09/2012","138.03","139.84","137.84","138.22","127555900","131.91"
"04/10/2012","137.95","138.34","135.76","135.90","235360300","129.69"
"04/11/2012","137.29","137.54","136.75","137.00","154133000","130.74"
"04/12/2012","137.13","138.90","137.03","138.79","154321500","132.45"
"04/13/2012","138.47","138.82","137.01","137.14","169246700","130.88"
"04/16/2012","137.84","138.04","136.58","137.05","147825300","130.79"
"04/17/2012","137.84","139.36","137.70","139.08","147877600","132.73"
"04/18/2012","138.46","139.08","138.38","138.61","123884200","132.28"
"04/19/2012","138.63","139.15","137.07","137.72","198666700","131.43"
"04/20/2012","138.33","138.83","137.87","137.95","143199600","131.65"
"04/23/2012","136.54","136.91","135.94","136.79","171844900","130.54"
"04/24/2012","136.91","137.66","136.80","137.31","137484200","131.04"
"04/25/2012","138.65","139.25","138.53","139.19","150252200","132.83"
"04/26/2012","138.89","140.32","138.81","140.16","136291600","133.76"
"04/27/2012","140.58","140.79","139.80","140.39","130725000","133.98"
"04/30/2012","140.11","140.21","139.49","139.87","115092200","133.48"
"05/01/2012","139.79","141.66","139.63","140.74","138832200","134.31"
"05/02/2012","139.92","140.46","139.46","140.32","121081000","133.91"
"05/03/2012","140.34","140.45","138.99","139.25","143759700","132.89"
"05/04/2012","138.52","139.30","136.92","137.00","193927300","130.74"
"05/07/2012","136.51","137.56","136.46","137.10","127765900","130.84"
"05/08/2012","136.28","136.77","134.92","136.55","213377700","130.32"
"05/09/2012","135.10","136.61","134.49","135.74","220752500","129.54"
"05/10/2012","136.68","136.85","135.71","136.02","150600000","129.81"
"05/11/2012","135.17","136.87","135.11","135.61","153032400","129.42"
"05/14/2012","134.31","135.61","133.91","134.11","163910000","127.99"
"05/15/2012","134.02","134.81","133.13","133.34","207629300","127.25"
"05/16/2012","133.94","134.55","132.80","132.83","207265500","126.76"
"05/17/2012","132.86","133.02","130.79","130.86","247992900","124.88"
"05/18/2012","131.37","131.60","129.55","129.74","319615900","123.82"
"05/21/2012","130.16","132.02","129.95","131.97","177861100","125.94"
"05/22/2012","132.31","133.23","131.34","132.20","197531200","126.16"
"05/23/2012","131.25","132.46","129.99","132.27","204958400","126.23"
"05/24/2012","132.63","132.84","131.42","132.53","167357600","126.48"
"05/25/2012","132.48","132.85","131.78","132.10","135465600","126.07"
"05/29/2012","133.16","133.93","131.17","133.70","152883500","127.60"
"05/30/2012","132.56","133.69","131.49","131.76","162370400","125.74"
"05/31/2012","131.71","132.45","130.34","131.47","196186000","125.47"
"06/01/2012","129.41","131.50","128.16","128.16","253240900","122.31"
"06/04/2012","128.39","128.74","127.14","128.10","202545800","122.25"
"06/05/2012","127.85","129.26","127.78","129.07","164149400","123.18"
"06/06/2012","129.97","132.03","129.93","131.97","184202800","125.94"
"06/07/2012","133.47","133.53","131.78","132.05","184772700","126.02"
"06/08/2012","131.71","133.13","131.29","133.10","143915400","127.02"
"06/11/2012","134.17","134.25","131.28","131.41","169756100","125.41"
"06/12/2012","131.79","133.01","131.16","132.92","181931800","126.85"
"06/13/2012","132.53","133.36","131.62","132.07","172223900","126.04"
"06/14/2012","132.34","134.00","131.98","133.47","230615500","127.38"
"06/15/2012","133.38","134.26","133.10","134.14","169444500","128.68"
"06/18/2012","133.58","134.73","133.28","134.40","131360900","128.93"
"06/19/2012","135.08","136.25","134.37","135.70","137382600","130.17"
"06/20/2012","135.71","136.10","134.27","135.48","206451800","129.96"
"06/21/2012","135.64","135.78","132.33","132.44","205272200","127.05"
"06/22/2012","133.13","133.71","132.62","133.46","130029200","128.03"
"06/25/2012","132.05","132.10","130.85","131.32","146375700","125.97"
"06/26/2012","131.70","132.38","130.93","131.98","141634000","126.61"
"06/27/2012","132.42","133.43","131.97","133.17","108088000","127.75"
"06/28/2012","132.29","132.99","131.28","132.79","169242100","127.38"
"06/29/2012","135.20","136.27","134.85","136.10","212250900","130.56"
"07/02/2012","136.48","136.65","135.52","136.51","129524500","130.95"
"07/03/2012","136.48","137.51","136.34","137.41","80450000","131.82"
"07/05/2012","136.90","137.80","136.29","136.79","126177500","131.22"
"07/06/2012","135.47","135.77","134.85","135.49","151192100","129.97"
"07/09/2012","135.38","135.57","134.70","135.32","103780500","129.81"
"07/10/2012","136.01","136.23","133.68","134.14","167884800","128.68"
"07/11/2012","134.21","134.60","133.38","134.16","141733400","128.70"
"07/12/2012","133.38","134.23","132.60","133.51","143583200","128.07"
"07/13/2012","133.86","135.89","133.84","135.75","129642600","130.22"
"07/16/2012","135.44","135.83","134.90","135.43","97525200","129.92"
"07/17/2012","135.97","136.64","134.55","136.36","138860300","130.81"
"07/18/2012","136.04","137.64","135.96","137.37","113349700","131.78"
"07/19/2012","137.65","138.18","137.21","137.73","129847300","132.12"
"07/20/2012","136.95","137.16","136.32","136.47","142904500","130.91"
"07/23/2012","134.47","136.38","133.84","135.09","145210900","129.59"
"07/24/2012","135.19","135.25","133.03","133.93","173301200","128.48"
"07/25/2012","134.21","134.56","133.25","133.96","129122300","128.51"
"07/26/2012","135.89","136.46","135.26","136.17","156526500","130.63"
"07/27/2012","136.89","139.07","136.14","138.68","236768900","133.03"
"07/30/2012","138.52","139.34","138.27","138.68","106782000","133.03"
"07/31/2012","138.49","138.87","137.71","137.71","120575900","132.10"
"08/01/2012","138.70","138.73","137.40","137.59","138293800","131.99"
"08/02/2012","136.55","137.57","135.58","136.64","199556600","131.08"
"08/03/2012","138.56","139.64","136.68","139.35","157825000","133.68"
"08/06/2012","139.72","140.17","139.56","139.62","86326200","133.94"
"08/07/2012","140.18","140.92","140.03","140.32","109545100","134.61"
"08/08/2012","139.85","140.65","139.81","140.49","89754700","134.77"
"08/09/2012","140.29","140.89","140.15","140.61","90291700","134.89"
"08/10/2012","140.04","140.89","139.81","140.84","99792700","135.11"
"08/13/2012","140.60","140.84","140.04","140.77","79426900","135.04"
"08/14/2012","141.29","141.38","140.37","140.79","102379400","135.06"
"08/15/2012","140.64","141.19","140.55","140.95","71085900","135.21"
"08/16/2012","141.15","142.16","140.80","141.99","112014200","136.21"
"08/17/2012","142.23","142.30","141.86","142.18","90813700","136.39"
"08/20/2012","141.98","142.22","141.59","142.19","78255700","136.40"
"08/21/2012","142.54","143.09","141.45","141.76","105581100","135.99"
"08/22/2012","141.40","142.05","141.07","141.82","133243500","136.05"
"08/23/2012","141.47","141.48","140.44","140.66","111466400","134.93"
"08/24/2012","140.31","141.83","140.22","141.51","99481200","135.75"
"08/27/2012","141.89","142.08","141.34","141.54","68785900","135.78"
"08/28/2012","141.18","141.84","140.97","141.40","75689600","135.64"
"08/29/2012","141.52","141.89","141.12","141.51","65421300","135.75"
"08/30/2012","140.90","140.94","140.19","140.49","96589900","134.77"
"08/31/2012","141.29","141.82","140.36","141.16","151970400","135.41"
"09/04/2012","141.04","141.46","140.13","141.03","120226200","135.29"
"09/05/2012","141.09","141.47","140.63","140.91","100660300","135.17"
"09/06/2012","141.76","143.78","141.75","143.77","158272500","137.92"
"09/07/2012","144.01","144.39","143.88","144.33","107272100","138.45"
"09/10/2012","144.19","144.44","143.46","143.51","86458500","137.67"
"09/11/2012","143.60","144.37","143.56","143.91","88760000","138.05"
"09/12/2012","144.39","144.55","143.90","144.39","87640900","138.51"
"09/13/2012","144.37","147.04","143.99","146.59","225470200","140.62"
"09/14/2012","146.88","148.11","146.76","147.24","169777000","141.25"
"09/17/2012","146.94","147.19","146.37","146.74","119427800","140.77"
"09/18/2012","146.49","146.81","146.25","146.62","98326600","140.65"
"09/19/2012","146.79","147.17","146.41","146.70","128318300","140.73"
"09/20/2012","146.03","146.79","145.63","146.71","154009800","140.74"
"09/21/2012","146.64","146.67","145.81","145.87","108737500","140.68"
"09/24/2012","145.15","145.98","145.04","145.65","95682000","140.47"
"09/25/2012","145.96","146.24","144.06","144.10","133165200","138.97"
"09/26/2012","144.07","144.11","142.95","143.29","146502200","138.19"
"09/27/2012","143.89","144.97","143.51","144.64","111830300","139.49"
"09/28/2012","144.09","144.56","143.46","143.97","150696100","138.85"
"10/01/2012","144.52","145.69","144.01","144.35","135911200","139.21"
"10/02/2012","144.92","145.15","143.83","144.50","113422200","139.36"
"10/03/2012","144.89","145.43","144.13","145.09","121283100","139.93"
"10/04/2012","145.64","146.34","145.44","146.13","124311600","140.93"
"10/05/2012","146.91","147.16","145.70","146.14","124842100","140.94"
"10/08/2012","145.60","146.12","145.31","145.64","78415400","140.46"
"10/09/2012","145.53","145.65","144.15","144.20","148872900","139.07"
"10/10/2012","144.18","144.32","143.09","143.28","124247500","138.18"
"10/11/2012","144.28","144.49","143.33","143.36","123601500","138.26"
"10/12/2012","143.46","143.95","142.58","142.89","124181900","137.80"
"10/15/2012","143.23","144.23","142.77","144.08","107689100","138.95"
"10/16/2012","144.76","145.64","144.66","145.54","108815500","140.36"
"10/17/2012","145.64","146.32","145.42","146.20","128834100","141.00"
"10/18/2012","145.82","146.52","145.33","145.82","148108500","140.63"
"10/19/2012","145.55","145.56","143.05","143.39","185645200","138.29"
"10/22/2012","143.15","143.67","142.28","143.41","125578600","138.31"
"10/23/2012","141.86","142.06","140.83","141.42","192056300","136.39"
"10/24/2012","141.93","142.10","140.80","141.02","120179400","136.00"
"10/25/2012","142.02","142.28","140.57","141.43","134457400","136.40"
"10/26/2012","141.30","141.84","140.39","141.35","146023500","136.32"
"10/31/2012","141.85","142.03","140.68","141.35","103438500","136.32"
"11/01/2012","141.65","143.01","141.52","142.83","100995600","137.75"
"11/02/2012","143.68","143.72","141.41","141.56","137702200","136.52"
"11/05/2012","141.35","142.17","140.93","141.85","98378500","136.80"
"11/06/2012","142.28","143.52","142.13","142.96","107068100","137.87"
"11/07/2012","141.66","141.68","139.06","139.72","264304500","134.75"
"11/08/2012","139.70","140.41","137.93","138.04","181517300","133.13"
"11/09/2012","137.62","139.44","137.55","138.16","201055300","133.24"
"11/12/2012","138.59","138.81","137.96","138.27","97677500","133.35"
"11/13/2012","137.54","139.25","137.36","137.79","123018300","132.89"
"11/14/2012","138.21","138.43","135.62","135.93","191505000","131.09"
"11/15/2012","135.98","136.49","135.18","135.70","178128400","130.87"
"11/16/2012","135.90","136.64","134.70","136.37","239483900","131.52"
"11/19/2012","137.90","139.15","136.41","139.13","151495800","134.18"
"11/20/2012","138.91","139.42","138.08","139.19","119807400","134.24"
"11/21/2012","139.31","139.57","139.03","139.45","81710800","134.49"
"11/23/2012","140.13","141.40","140.04","141.35","65409200","136.32"
"11/26/2012","140.65","141.36","140.19","141.05","100124400","136.03"
"11/27/2012","140.91","141.39","140.24","140.33","128646200","135.34"
"11/28/2012","139.76","141.54","139.00","141.46","177086500","136.42"
"11/29/2012","141.99","142.51","141.37","142.12","151085900","137.06"
"11/30/2012","142.14","142.42","141.66","142.15","136568300","137.09"
"12/03/2012","142.80","142.92","141.34","141.45","124656300","136.42"
"12/04/2012","141.44","141.87","140.87","141.25","127512200","136.22"
"12/05/2012","141.37","142.16","140.37","141.50","147300500","136.46"
"12/06/2012","141.37","142.04","141.16","141.98","103220600","136.93"
"12/07/2012","142.53","142.69","141.67","142.41","108726400","137.34"
"12/10/2012","142.21","142.81","142.15","142.47","98840700","137.40"
"12/11/2012","143.06","144.11","142.99","143.44","152570400","138.33"
