"Date","Outlook"
"2011/10/07","166"
"2011/10/10","165"
"2011/10/11","164"
"2011/10/12","163"
"2011/10/13","164"
"2011/10/14","165"
"2011/10/17","166"
"2011/10/18","167"
"2011/10/19","168"
"2011/10/20","169"
"2011/10/21","170"
"2011/10/24","171"
"2011/10/25","172"
"2011/10/26","173"
"2011/10/27","174"
"2011/10/28","175"
"2011/10/31","176"
"2011/11/01","177"
"2011/11/02","177"
"2011/11/03","177"
"2011/11/04","177"
"2011/11/07","177"
"2011/11/08","177"
"2011/11/09","178"
"2011/11/10","178"
"2011/11/11","178"
"2011/11/14","178"
"2011/11/15","178"
"2011/11/16","178"
"2011/11/17","178"
"2011/11/18","177"
"2011/11/21","176"
"2011/11/22","175"
"2011/11/23","174"
"2011/11/25","173"
"2011/11/28","172"
"2011/11/29","171"
"2011/11/30","170"
"2011/12/01","169"
"2011/12/02","168"
"2011/12/05","167"
"2011/12/06","166"
"2011/12/07","165"
"2011/12/08","164"
"2011/12/09","163"
"2011/12/12","162"
"2011/12/13","161"
"2011/12/14","160"
"2011/12/15","159"
"2011/12/16","158"
"2011/12/19","157"
"2011/12/20","156"
"2011/12/21","157"
"2011/12/22","158"
"2011/12/23","159"
"2011/12/27","160"
"2011/12/28","161"
"2011/12/29","162"
"2011/12/30","163"
"2012/01/03","164"
"2012/01/04","165"
"2012/01/05","166"
"2012/01/06","167"
"2012/01/09","168"
"2012/01/10","169"
"2012/01/11","170"
"2012/01/12","171"
"2012/01/13","172"
"2012/01/17","173"
"2012/01/18","174"
"2012/01/19","175"
"2012/01/20","176"
"2012/01/23","177"
"2012/01/24","178"
"2012/01/25","179"
"2012/01/26","180"
"2012/01/27","181"
"2012/01/30","182"
"2012/01/31","183"
"2012/02/01","184"
"2012/02/02","185"
"2012/02/03","186"
"2012/02/06","187"
"2012/02/07","188"
"2012/02/08","189"
"2012/02/09","190"
"2012/02/10","191"
"2012/02/13","192"
"2012/02/14","193"
"2012/02/15","194"
"2012/02/16","195"
"2012/02/17","196"
"2012/02/21","197"
"2012/02/22","198"
"2012/02/23","199"
"2012/02/24","200"
"2012/02/27","201"
"2012/02/28","202"
"2012/02/29","203"
"2012/03/01","204"
"2012/03/02","205"
"2012/03/05","206"
"2012/03/06","207"
"2012/03/07","208"
"2012/03/08","209"
"2012/03/09","210"
"2012/03/12","211"
"2012/03/13","212"
"2012/03/14","213"
"2012/03/15","214"
"2012/03/16","215"
"2012/03/19","216"
"2012/03/20","217"
"2012/03/21","218"
"2012/03/22","219"
"2012/03/23","220"
"2012/03/26","221"
"2012/03/27","222"
"2012/03/28","223"
"2012/03/29","223"
"2012/03/30","223"
"2012/04/02","223"
"2012/04/03","223"
"2012/04/04","223"
"2012/04/05","222"
"2012/04/09","221"
"2012/04/10","220"
"2012/04/11","219"
"2012/04/12","218"
"2012/04/13","217"
"2012/04/16","216"
"2012/04/17","215"
"2012/04/18","214"
"2012/04/19","213"
"2012/04/20","212"
"2012/04/23","211"
"2012/04/24","210"
"2012/04/25","209"
"2012/04/26","210"
"2012/04/27","211"
"2012/04/30","212"
"2012/05/01","213"
"2012/05/02","214"
"2012/05/03","215"
"2012/05/04","215"
"2012/05/07","214"
"2012/05/08","213"
"2012/05/09","212"
"2012/05/10","211"
"2012/05/11","210"
"2012/05/14","209"
"2012/05/15","208"
"2012/05/16","207"
"2012/05/17","206"
"2012/05/18","205"
"2012/05/21","204"
"2012/05/22","203"
"2012/05/23","202"
"2012/05/24","201"
"2012/05/25","200"
"2012/05/29","199"
"2012/05/30","198"
"2012/05/31","197"
"2012/06/01","196"
"2012/06/04","195"
"2012/06/05","194"
"2012/06/06","193"
"2012/06/07","192"
"2012/06/08","191"
"2012/06/11","190"
"2012/06/12","189"
"2012/06/13","188"
"2012/06/14","187"
"2012/06/15","186"
"2012/06/18","187"
"2012/06/19","188"
"2012/06/21","189"
"2012/06/22","189"
"2012/06/25","189"
"2012/06/26","188"
"2012/06/27","187"
"2012/06/28","186"
"2012/06/29","185"
"2012/07/02","186"
"2012/07/03","187"
"2012/07/05","188"
"2012/07/06","189"
"2012/07/09","190"
"2012/07/10","191"
"2012/07/11","191"
"2012/07/12","191"
"2012/07/13","191"
"2012/07/16","191"
"2012/07/17","191"
"2012/07/18","191"
"2012/07/19","191"
"2012/07/20","192"
"2012/07/23","192"
"2012/07/24","192"
"2012/07/25","191"
"2012/07/26","190"
"2012/07/27","191"
"2012/07/30","192"
"2012/07/31","193"
"2012/08/01","194"
"2012/08/02","195"
"2012/08/03","196"
"2012/08/06","197"
"2012/08/07","198"
"2012/08/08","199"
"2012/08/10","200"
"2012/08/13","201"
"2012/08/14","202"
"2012/08/15","203"
"2012/08/16","204"
"2012/08/17","205"
"2012/08/20","206"
"2012/08/21","207"
"2012/08/22","208"
"2012/08/23","209"
"2012/08/24","210"
"2012/08/27","211"
"2012/08/28","212"
"2012/08/29","213"
"2012/08/30","214"
"2012/08/31","215"
"2012/09/04","216"
"2012/09/05","217"
"2012/09/06","218"
"2012/09/07","219"
"2012/09/10","220"
"2012/09/11","221"
"2012/09/12","222"
"2012/09/13","223"
"2012/09/14","224"
"2012/09/17","225"
"2012/09/18","226"
"2012/09/20","227"
"2012/09/21","228"
"2012/09/24","229"
"2012/09/25","230"
"2012/09/26","231"
"2012/09/27","232"
"2012/09/28","233"
"2012/10/01","234"
"2012/10/02","235"
"2012/10/03","236"
"2012/10/04","237"
"2012/10/05","238"
"2012/10/08","239"
"2012/10/09","240"
"2012/10/10","240"
"2012/10/11","239"
"2012/10/12","238"
"2012/10/15","237"
"2012/10/16","236"
"2012/10/17","235"
"2012/10/18","234"
"2012/10/19","233"
"2012/10/22","232"
"2012/10/23","231"
"2012/10/24","230"
"2012/10/25","229"
"2012/10/26","228"
"2012/10/29","227"
"2012/10/30","226"
"2012/10/31","225"
"2012/11/01","224"
"2012/11/02","223"
"2012/11/05","222"
"2012/11/06","221"
"2012/11/07","220"
"2012/11/08","219"
"2012/11/09","218"
"2012/11/12","217"
"2012/11/13","216"
"2012/11/14","215"
"2012/11/15","214"
"2012/11/16","213"
"2012/11/19","212"
"2012/11/20","211"
"2012/11/21","210"
"2012/11/23","209"
"2012/11/26","210"
"2012/11/27","211"
"2012/11/28","212"
"2012/11/29","213"
"2012/11/30","214"
"2012/12/03","215"
"2012/12/04","216"
"2012/12/05","217"
"2012/12/06","218"
"2012/12/07","219"
"2012/12/10","220"
"2012/12/11","221"
"2012/12/12","222"
"2012/12/13","223"
"2012/12/14","224"
"2012/12/17","225"
"2012/12/18","226"
"2012/12/19","227"
"2012/12/20","228"
"2012/12/21","229"
"2012/12/24","230"
"2012/12/26","231"
"2012/12/27","231"
"2012/12/28","231"
"2012/12/31","231"
"2013/01/02","232"
"2013/01/03","233"
"2013/01/04","234"
"2013/01/07","235"
"2013/01/08","236"
"2013/01/09","237"
"2013/01/10","238"
"2013/01/11","239"
"2013/01/14","240"
"2013/01/15","241"
"2013/01/16","242"
"2013/01/17","243"
"2013/01/18","244"
"2013/01/22","245"
"2013/01/23","246"
"2013/01/24","247"
"2013/01/28","248"
"2013/01/29","249"
"2013/01/30","250"
"2013/01/31","251"
"2013/02/01","252"
"2013/02/04","253"
"2013/02/05","254"
"2013/02/06","255"
"2013/02/07","256"
"2013/02/08","257"
"2013/02/11","258"
"2013/02/12","259"
"2013/02/13","260"
"2013/02/14","261"
"2013/02/15","262"
"2013/02/19","263"
"2013/02/20","264"
"2013/02/21","264"
"2013/02/22","264"
"2013/02/25","264"
"2013/02/26","263"
"2013/02/27","262"
"2013/02/28","261"
"2013/03/01","260"
"2013/03/04","259"
"2013/03/05","258"
"2013/03/06","259"
"2013/03/07","260"
"2013/03/08","261"
"2013/03/11","262"
"2013/03/12","263"
"2013/03/13","264"
"2013/03/14","265"
"2013/03/15","266"
"2013/03/18","267"
"2013/03/19","268"
"2013/03/20","269"
"2013/03/22","270"
"2013/03/25","271"
"2013/03/26","272"
"2013/03/27","273"
"2013/04/01","274"
"2013/04/02","275"
"2013/04/03","276"
"2013/04/04","276"
"2013/04/05","276"
"2013/04/08","276"
"2013/04/09","276"
"2013/04/10","276"
"2013/04/11","277"
"2013/04/12","278"
"2013/04/15","279"
